User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
1,male,69,168.1,79.4,77,155,41.2
2,female,21,159.3,48.0,114,153,39.0
3,male,51,170.9,83.9,39,160,37.8
4,male,22,160.7,53.3,59,89,40.7
5,male,50,167.0,89.2,56,179,39.3
6,female,22,151.7,42.4,99,96,37.9
7,male,55,185.8,93.9,49,168,40.1
8,male,51,179.9,87.2,51,83,41.4
9,male,43,181.3,69.1,97,174,37.4
10,female,18,162.6,66.4,55,124,39.0
11,male,21,176.3,81.2,33,150,39.3
12,male,56,186.7,92.6,72,147,40.0
13,male,43,170.1,98.6,108,75,38.0
14,male,50,175.9,78.5,54,150,37.8
15,female,50,170.4,60.0,18,148,40.3
16,male,25,164.4,92.4,32,111,40.0
17,female,37,161.0,41.8,62,144,38.1
18,female,33,162.7,71.4,37,173,37.3
19,female,38,169.4,58.1,108,107,40.6
20,male,62,185.1,73.0,76,139,40.1
21,female,43,160.4,72.4,55,175,41.0
22,male,40,175.3,90.3,5,70,37.3
23,female,35,152.0,72.1,72,169,39.2
24,female,48,164.6,70.3,33,125,37.7
25,female,69,162.4,69.8,39,131,40.0
26,female,59,159.9,70.7,22,126,38.1
27,female,29,156.0,66.7,106,182,38.2
28,female,18,156.7,58.8,119,83,40.2
29,female,59,167.3,53.2,48,170,40.7
30,female,26,169.2,69.2,59,138,41.1
31,male,20,183.5,112.6,118,96,37.4
32,male,68,186.5,83.0,40,149,40.6
33,female,43,157.0,66.5,108,95,41.4
34,female,26,169.6,51.8,23,134,37.2
35,female,59,163.2,60.5,53,174,41.1
36,male,68,202.4,79.7,25,165,41.3
37,female,33,165.5,53.4,57,68,37.9
38,male,41,164.5,78.8,84,173,38.4
39,male,67,170.3,64.5,74,99,38.3
40,male,31,180.0,77.0,94,77,41.3
41,male,20,162.2,86.6,5,103,37.1
42,male,51,176.4,61.5,86,140,39.5
43,female,50,160.1,45.6,111,171,39.6
44,female,67,155.1,55.5,5,151,39.9
45,female,41,154.5,57.9,31,122,38.0
46,female,26,157.6,70.5,23,67,39.1
47,female,30,174.8,71.1,103,178,38.9
48,male,19,182.4,67.5,94,81,38.8
49,female,24,159.3,72.4,56,122,38.5
50,female,65,170.6,90.6,83,150,41.2
51,male,38,161.2,69.4,74,110,39.9
52,female,36,172.5,62.7,67,93,40.4
53,male,42,165.7,76.7,99,155,38.4
54,female,64,170.2,68.2,102,171,37.0
55,male,39,175.0,57.6,117,181,41.3
56,female,28,167.9,60.0,114,71,40.9
57,female,50,163.1,61.1,85,115,39.1
58,male,49,173.6,74.5,71,132,38.7
59,male,38,185.4,69.0,111,171,39.0
60,male,56,162.4,93.2,88,128,38.2
61,male,37,170.8,104.6,6,75,39.8
62,male,25,175.8,59.4,41,161,41.4
63,male,59,167.7,68.9,57,99,37.3
64,male,54,171.6,67.9,77,123,40.6
65,male,26,173.3,76.6,91,92,37.3
66,female,42,149.8,71.3,101,146,40.9
67,female,42,168.1,61.6,115,70,37.7
68,male,50,178.0,78.2,43,151,39.2
69,female,19,147.3,63.3,35,162,39.3
70,female,36,168.4,62.1,23,80,39.8
71,female,63,153.0,67.7,46,151,39.7
72,female,37,149.2,86.2,55,99,40.2
73,male,59,172.4,87.1,72,70,40.8
74,female,58,156.0,65.9,115,152,37.2
75,male,59,184.3,80.2,38,79,40.3
76,female,46,169.9,59.9,58,178,37.2
77,female,23,160.9,61.0,62,73,40.6
78,female,34,161.7,74.9,19,110,40.6
79,male,42,173.4,86.7,33,72,37.9
80,female,55,165.4,56.1,111,97,37.9
81,male,21,171.2,91.3,61,90,37.4
82,female,47,163.8,52.9,118,81,38.1
83,male,37,185.7,60.5,10,159,39.2
84,female,20,165.5,63.0,50,75,38.7
85,male,40,176.1,89.1,109,90,38.0
86,male,68,163.4,77.9,75,132,39.8
87,female,35,160.3,62.7,31,136,39.4
88,male,43,173.1,82.9,93,152,37.6
89,female,53,164.7,69.3,5,151,38.4
90,female,25,169.8,68.3,77,142,41.2
91,female,34,155.4,61.5,26,103,40.0
92,female,48,163.7,69.7,26,171,41.3
93,female,54,145.4,67.0,57,147,39.1
94,female,62,161.1,77.9,70,130,37.1
95,female,50,170.5,54.2,74,132,40.6
96,female,44,157.9,62.1,117,172,37.4
97,female,62,164.2,75.0,97,116,41.2
98,female,21,159.3,70.4,69,183,38.4
99,female,39,157.0,42.0,59,177,40.0
100,male,43,178.2,66.8,85,75,40.8
101,male,49,188.7,66.3,115,160,39.1
102,female,41,165.1,81.4,100,147,38.9
103,female,63,165.2,60.7,48,153,37.8
104,female,52,157.0,71.5,41,114,40.3
105,female,54,164.1,65.8,42,116,38.5
106,female,49,156.5,70.8,72,114,39.8
107,female,24,166.7,75.7,9,126,38.1
108,female,50,153.8,74.4,118,119,40.3
109,female,48,160.6,74.1,27,97,40.1
110,male,29,163.0,65.0,64,117,37.0
111,female,28,170.8,63.5,46,77,37.5
112,male,41,175.5,74.5,85,121,37.4
113,female,25,169.7,69.8,102,169,37.2
114,female,49,166.9,70.9,28,116,37.3
